Epoch 1/300, Test Accuracy: 5.28%, Loss: 53.6230
Epoch 2/300, Test Accuracy: 5.38%, Loss: 2.9871
Epoch 3/300, Test Accuracy: 5.22%, Loss: 2.9804
Epoch 4/300, Test Accuracy: 5.39%, Loss: 2.9784
Epoch 5/300, Test Accuracy: 5.16%, Loss: 2.9756
Epoch 6/300, Test Accuracy: 5.23%, Loss: 2.9725
Epoch 7/300, Test Accuracy: 5.49%, Loss: 2.9689
Epoch 8/300, Test Accuracy: 5.55%, Loss: 2.9648
Epoch 9/300, Test Accuracy: 5.42%, Loss: 2.9600
Epoch 10/300, Test Accuracy: 5.59%, Loss: 2.9542
Epoch 11/300, Test Accuracy: 5.30%, Loss: 2.9478
Epoch 12/300, Test Accuracy: 5.42%, Loss: 2.9401
Epoch 13/300, Test Accuracy: 5.23%, Loss: 2.9313
Epoch 14/300, Test Accuracy: 5.44%, Loss: 2.9216
Epoch 15/300, Test Accuracy: 5.15%, Loss: 2.9106
Epoch 16/300, Test Accuracy: 5.47%, Loss: 2.8989
Epoch 17/300, Test Accuracy: 5.44%, Loss: 2.8860
Epoch 18/300, Test Accuracy: 5.12%, Loss: 2.8729
Epoch 19/300, Test Accuracy: 5.37%, Loss: 2.8596
Epoch 20/300, Test Accuracy: 5.31%, Loss: 2.8465
Epoch 21/300, Test Accuracy: 5.43%, Loss: 2.8352
Epoch 22/300, Test Accuracy: 5.31%, Loss: 2.8255
Epoch 23/300, Test Accuracy: 5.36%, Loss: 2.8179
Epoch 24/300, Test Accuracy: 5.63%, Loss: 2.8125
Epoch 25/300, Test Accuracy: 5.63%, Loss: 2.8087
Epoch 26/300, Test Accuracy: 5.71%, Loss: 2.8055
Epoch 27/300, Test Accuracy: 5.01%, Loss: 2.8000
Epoch 28/300, Test Accuracy: 5.79%, Loss: 2.7979
Epoch 29/300, Test Accuracy: 5.47%, Loss: 2.7942
Epoch 30/300, Test Accuracy: 5.74%, Loss: 2.7892
Epoch 31/300, Test Accuracy: 5.20%, Loss: 2.7839
Epoch 32/300, Test Accuracy: 5.45%, Loss: 2.7806
Epoch 33/300, Test Accuracy: 5.60%, Loss: 2.7806
Epoch 34/300, Test Accuracy: 5.47%, Loss: 2.7784
