Epoch 1/300, Test Accuracy: 34.46%, Loss: 5.2597
Epoch 2/300, Test Accuracy: 40.10%, Loss: 2.0159
Epoch 3/300, Test Accuracy: 43.13%, Loss: 1.7612
Epoch 4/300, Test Accuracy: 44.55%, Loss: 1.5010
Epoch 5/300, Test Accuracy: 45.68%, Loss: 1.2471
Epoch 6/300, Test Accuracy: 45.52%, Loss: 1.0166
Epoch 7/300, Test Accuracy: 45.19%, Loss: 0.8497
Epoch 8/300, Test Accuracy: 46.15%, Loss: 0.7562
Epoch 9/300, Test Accuracy: 46.41%, Loss: 0.6928
Epoch 10/300, Test Accuracy: 47.14%, Loss: 0.6380
Epoch 11/300, Test Accuracy: 47.26%, Loss: 0.5844
Epoch 12/300, Test Accuracy: 47.49%, Loss: 0.5459
Epoch 13/300, Test Accuracy: 48.26%, Loss: 0.5170
Epoch 14/300, Test Accuracy: 48.23%, Loss: 0.4913
Epoch 15/300, Test Accuracy: 47.83%, Loss: 0.4665
Epoch 16/300, Test Accuracy: 48.69%, Loss: 0.4502
Epoch 17/300, Test Accuracy: 49.01%, Loss: 0.4309
Epoch 18/300, Test Accuracy: 49.50%, Loss: 0.4205
Epoch 19/300, Test Accuracy: 49.27%, Loss: 0.4053
Epoch 20/300, Test Accuracy: 49.60%, Loss: 0.3992
Epoch 21/300, Test Accuracy: 49.78%, Loss: 0.3898
Epoch 22/300, Test Accuracy: 50.11%, Loss: 0.3794
Epoch 23/300, Test Accuracy: 50.27%, Loss: 0.3678
Epoch 24/300, Test Accuracy: 49.87%, Loss: 0.3642
Epoch 25/300, Test Accuracy: 49.99%, Loss: 0.3557
Epoch 26/300, Test Accuracy: 50.21%, Loss: 0.3501
Epoch 27/300, Test Accuracy: 50.74%, Loss: 0.3425
Epoch 28/300, Test Accuracy: 50.63%, Loss: 0.3341
Epoch 29/300, Test Accuracy: 50.33%, Loss: 0.3309
Epoch 30/300, Test Accuracy: 50.97%, Loss: 0.3220
Epoch 31/300, Test Accuracy: 51.05%, Loss: 0.3161
Epoch 32/300, Test Accuracy: 51.22%, Loss: 0.3152
Epoch 33/300, Test Accuracy: 51.33%, Loss: 0.3118
Epoch 34/300, Test Accuracy: 51.10%, Loss: 0.3045
Epoch 35/300, Test Accuracy: 51.36%, Loss: 0.3012
Epoch 36/300, Test Accuracy: 51.38%, Loss: 0.2928
Epoch 37/300, Test Accuracy: 51.35%, Loss: 0.2865
Epoch 38/300, Test Accuracy: 51.52%, Loss: 0.2841
Epoch 39/300, Test Accuracy: 51.26%, Loss: 0.2834
Epoch 40/300, Test Accuracy: 51.68%, Loss: 0.2778
Epoch 41/300, Test Accuracy: 51.81%, Loss: 0.2743
Epoch 42/300, Test Accuracy: 51.75%, Loss: 0.2666
Epoch 43/300, Test Accuracy: 51.18%, Loss: 0.2640
Epoch 44/300, Test Accuracy: 51.82%, Loss: 0.2595
Epoch 45/300, Test Accuracy: 51.97%, Loss: 0.2586
Epoch 46/300, Test Accuracy: 51.59%, Loss: 0.2527
Epoch 47/300, Test Accuracy: 51.60%, Loss: 0.2520
Epoch 48/300, Test Accuracy: 51.10%, Loss: 0.2455
Epoch 49/300, Test Accuracy: 52.21%, Loss: 0.2460
Epoch 50/300, Test Accuracy: 51.13%, Loss: 0.2402
Epoch 51/300, Test Accuracy: 51.92%, Loss: 0.2418
Epoch 52/300, Test Accuracy: 51.70%, Loss: 0.2385
Epoch 53/300, Test Accuracy: 51.85%, Loss: 0.2380
Epoch 54/300, Test Accuracy: 51.77%, Loss: 0.2370
Epoch 55/300, Test Accuracy: 51.97%, Loss: 0.2333
Epoch 56/300, Test Accuracy: 51.59%, Loss: 0.2285
Epoch 57/300, Test Accuracy: 51.90%, Loss: 0.2283
Epoch 58/300, Test Accuracy: 52.03%, Loss: 0.2248
Epoch 59/300, Test Accuracy: 51.71%, Loss: 0.2246
Epoch 60/300, Test Accuracy: 51.93%, Loss: 0.2255
Epoch 61/300, Test Accuracy: 52.01%, Loss: 0.2280
Epoch 62/300, Test Accuracy: 51.41%, Loss: 0.2261
Epoch 63/300, Test Accuracy: 51.80%, Loss: 0.2279
Epoch 64/300, Test Accuracy: 51.40%, Loss: 0.2282
Epoch 65/300, Test Accuracy: 51.75%, Loss: 0.2309
Epoch 66/300, Test Accuracy: 51.29%, Loss: 0.2339
Epoch 67/300, Test Accuracy: 51.75%, Loss: 0.2334
Epoch 68/300, Test Accuracy: 51.66%, Loss: 0.2304
Epoch 69/300, Test Accuracy: 51.79%, Loss: 0.2374
Epoch 70/300, Test Accuracy: 52.05%, Loss: 0.2388
Epoch 71/300, Test Accuracy: 51.71%, Loss: 0.2318
Epoch 72/300, Test Accuracy: 51.89%, Loss: 0.2267
Epoch 73/300, Test Accuracy: 51.76%, Loss: 0.2259
Epoch 74/300, Test Accuracy: 51.09%, Loss: 0.2255
Epoch 75/300, Test Accuracy: 51.50%, Loss: 0.2248
Epoch 76/300, Test Accuracy: 51.85%, Loss: 0.2232
Epoch 77/300, Test Accuracy: 51.87%, Loss: 0.2242
Epoch 78/300, Test Accuracy: 51.41%, Loss: 0.2288
Epoch 79/300, Test Accuracy: 49.71%, Loss: 0.2757
Epoch 80/300, Test Accuracy: 51.59%, Loss: 0.3265
Epoch 81/300, Test Accuracy: 51.45%, Loss: 0.2993
Epoch 82/300, Test Accuracy: 52.41%, Loss: 0.2539
Epoch 83/300, Test Accuracy: 52.27%, Loss: 0.2272
Epoch 84/300, Test Accuracy: 52.41%, Loss: 0.2140
Epoch 85/300, Test Accuracy: 52.69%, Loss: 0.2101
Epoch 86/300, Test Accuracy: 52.72%, Loss: 0.2069
