Epoch 1/300, Test Accuracy: 16.25%, Loss: 9.1420
Epoch 2/300, Test Accuracy: 20.41%, Loss: 2.7467
Epoch 3/300, Test Accuracy: 22.51%, Loss: 2.5241
Epoch 4/300, Test Accuracy: 23.88%, Loss: 2.2270
Epoch 5/300, Test Accuracy: 24.49%, Loss: 1.8476
Epoch 6/300, Test Accuracy: 24.25%, Loss: 1.4401
Epoch 7/300, Test Accuracy: 23.75%, Loss: 1.1088
Epoch 8/300, Test Accuracy: 23.40%, Loss: 0.9430
Epoch 9/300, Test Accuracy: 23.46%, Loss: 0.9602
Epoch 10/300, Test Accuracy: 23.30%, Loss: 0.9987
Epoch 11/300, Test Accuracy: 23.81%, Loss: 0.9916
Epoch 12/300, Test Accuracy: 24.84%, Loss: 0.8977
Epoch 13/300, Test Accuracy: 24.29%, Loss: 0.8392
Epoch 14/300, Test Accuracy: 24.70%, Loss: 0.7906
Epoch 15/300, Test Accuracy: 25.40%, Loss: 0.7309
Epoch 16/300, Test Accuracy: 25.38%, Loss: 0.6846
Epoch 17/300, Test Accuracy: 25.63%, Loss: 0.6613
Epoch 18/300, Test Accuracy: 25.83%, Loss: 0.6310
Epoch 19/300, Test Accuracy: 25.20%, Loss: 0.6316
Epoch 20/300, Test Accuracy: 25.59%, Loss: 0.6075
Epoch 21/300, Test Accuracy: 25.65%, Loss: 0.5733
Epoch 22/300, Test Accuracy: 26.01%, Loss: 0.5607
Epoch 23/300, Test Accuracy: 26.09%, Loss: 0.5501
Epoch 24/300, Test Accuracy: 26.22%, Loss: 0.5259
Epoch 25/300, Test Accuracy: 26.90%, Loss: 0.5014
Epoch 26/300, Test Accuracy: 26.21%, Loss: 0.5073
Epoch 27/300, Test Accuracy: 26.64%, Loss: 0.4878
Epoch 28/300, Test Accuracy: 25.52%, Loss: 0.4916
Epoch 29/300, Test Accuracy: 27.04%, Loss: 0.4826
Epoch 30/300, Test Accuracy: 26.07%, Loss: 0.4723
Epoch 31/300, Test Accuracy: 26.32%, Loss: 0.4620
